"","folio","factor_b2","ah03b","ah03c","ah03d","ah03e","ah03f","ah03g","ah03h","cvo06_1","cvo07_1","cvo05_1","cvo04","cv08_1","cv16","cv07"
"81",107000,2954,"0","1","0","1","1","1","0","0","0","1","1","0","1","1"
"82",108000,2954,"1","1","0","1","1","1","0","1","1","1","1","1","1","3"
"83",109000,1931,"0","0","0","1","1","1","0","0","0","0","1","0","0","1"
"84",110000,1931,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"85",111000,1931,"0","1","0","1","1","1","0","0","0","0","1","0","0","1"
"86",112000,1931,"0","0","0","1","1","1","1","0","0","0","1","1","0","3"
"87",113000,1931,"0","0","0","1","1","1","0","0","0","1","1","1","0","1"
"88",114000,1931,"0","0","0","1","1","1","0","0","0","0","1","1","0","1"
"89",115000,1931,"0","0","0","1","1","1","0","0","0","1","1","1","0","1"
"90",116000,1931,"1","0","1","1","1","1","1","1","1","1","1","1","0","1"
"91",118000,1931,"0","0","0","1","1","0","0","0","0","0","1","1","0","3"
"92",119000,1931,"0","1","0","1","1","1","0","1","1","1","1","1","0","3"
"93",120000,1931,"0","0","0","1","1","1","0","0","0","0","1","1","0","2"
"94",121000,1931,"0","0","0","0","1","1","0","0","0","0","1","0","0","1"
"95",122000,1931,"1","0","0","1","1","1","0","0","0","1","1","1","0","1"
"96",125000,1931,"0","0","0","1","1","1","0","1","1","0","1","1","0","1"
"97",126000,1931,"0","0","0","1","1","0","0","0","0","0","1","0","0","3"
"98",127000,2407,"1","0","0","1","1","1","1","1","1","1","1","1","1","3"
"99",128000,2407,"0","1","0","1","1","1","0","1","1","1","1","1","1","3"
"100",129000,2407,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"101",132000,2407,"0","0","1","1","1","1","1","1","1","1","1","1","1","3"
"102",133000,2407,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"103",135000,2407,"0","1","1","1","1","1","0","1","1","1","1","1","1","2"
"104",136000,2033,"0","1","0","1","1","1","0","1","1","1","1","1","1","3"
"105",137000,2033,"0","1","0","1","1","1","1","1","1","1","1","1","1","3"
"106",138000,2033,"1","0","1","1","1","1","0","1","1","1","1","1","1","2"
"107",139000,2033,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"108",140000,2033,"1","0","1","1","1","1","1","1","1","1","1","1","1","2"
"109",141000,2033,"1","1","0","1","1","1","0","1","1","1","1","1","1","3"
"110",142000,2033,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"111",144000,2033,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"112",145000,2169,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"113",146000,2169,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"114",147000,2169,"0","1","0","1","1","1","1","1","1","1","1","1","1","3"
"115",148000,2169,"0","0","1","1","1","1","1","1","1","1","1","1","1","1"
"116",149000,2169,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"117",150000,2169,"1","0","1","1","1","1","1","1","1","1","1","1","1","3"
"118",151000,2169,"1","0","1","1","1","1","1","1","1","1","1","1","1","3"
"119",154000,1853,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"120",157000,1853,"1","0","1","1","1","1","1","1","1","1","1","1","1","3"
"121",158000,1853,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"122",159000,1853,"0","0","1","1","1","1","1","1","1","1","1","1","1","2"
"123",160000,1853,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"124",164000,1399,"0","1","1","1","1","1","0","1","1","1","1","1","1","2"
"125",165000,1399,"0","0","1","1","1","1","1","1","1","1","1","1","1","3"
"126",168000,1399,"0","1","0","1","1","1","1","1","1","1","1","1","1","2"
"127",169000,1399,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"128",171000,1399,"0","0","1","1","1","1","1","1","1","1","1","1","1","3"
"129",174000,1399,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"130",175000,1399,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"131",176000,1399,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"132",177000,1399,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"133",180000,1399,"0","0","0","1","0","1","0","1","1","0","1","0","1","1"
"134",181000,1459,"0","1","1","1","1","1","1","1","1","1","1","1","1","2"
"135",183000,1459,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"136",185000,1459,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"137",188000,1459,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"138",190000,12765,"1","1","0","1","0","1","0","1","1","1","1","0","0","1"
"139",191000,12765,"0","0","0","1","1","0","0","1","0","0","1","1","1","1"
"140",192000,12765,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"141",194000,12765,"0","0","0","1","0","0","0","1","1","1","1","1","1","2"
"142",195000,12765,"0","0","0","1","0","0","0","1","1","1","1","1","0","3"
"143",197000,12765,"0","0","0","1","1","0","0","1","1","1","1","1","1","2"
"144",198000,12765,"1","0","0","0","0","0","0","1","1","1","1","1","1","3"
"145",199000,12765,"0","0","0","0","0","0","0","0","1","1","1","1","0","1"
"146",2e+05,12765,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"147",201000,12765,"0","0","0","1","1","1","0","1","0","1","1","1","1","3"
"148",202000,12765,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"149",203000,12765,"0","0","0","1","1","1","0","1","0","1","1","1","1","1"
"150",206000,12765,NA,"0",NA,"1","1","0",NA,"1","1","1","1","1","1","3"
"151",207000,12765,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"152",208000,12765,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"153",209000,12765,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"154",210000,12765,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"155",211000,12765,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"156",212000,12765,"0","0","0","1","0","1","0","1","1","1","1","1","1","1"
"157",213000,12765,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"158",214000,12765,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"159",215000,12765,"0","1","0","1","1","1","0","1","1","1","1","1","1","1"
"160",216000,12765,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"161",217000,12765,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"162",218000,12765,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"163",219000,12765,"0","0","1","1","1","0","0","1","1","1","1","1","1","2"
"164",223000,12765,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"165",225000,12765,"0","0","0","1","1","1","0","1","1","1","1","1","1","1"
"166",227000,12765,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
