"","folio","foliow1","fac_2l","ah03b","ah03c","ah03d","ah03e","ah03f","ah03g","ah03h","cvo06_1","cvo07_1","cvo05_1","cvo04","cv08_1","cv16","cv07"
"71","00084000","00084000",3674,"0","0","0","1","1","1","0","0","0","0","1","0","1","1"
"72","00085000","00085000",3674,"0","0","0","1","0","1","0","0","0","0","1","1","1","2"
"73","00088000","00088000",3674,"0","0","0","1","1","1","0","0","0","1","1","1","0","3"
"74","00088003","00088000",3674,"0","0","1","1","1","1","0","0","0","0","1","1","0","2"
"75","00089000","00089000",3674,"0","1","1","1","1","1","1","1","1","1","1","1","1","3"
"76","00091000","00091000",2316,"0","0","0","1","1","1","0","1","0","1","1","1","0","3"
"77","00092000","00092000",2316,"1","1","1","1","1","1","0","0","0","1","1","1","0","1"
"78","00093000","00093000",2316,"0","0","0","1","1","1","0","0","0","0","1","0","0","2"
"79","00093001","00093000",2316,"1","0","1","1","1","0","0","1","1","1","1","1","1","3"
"80","00094000","00094000",2316,"0","0","0","1","1","1","0","0","0","1","1","1","0","1"
"81","00095000","00095000",2316,"0","0","0","1","1","1","0","1","1","1","1","0","0","1"
"82","00096000","00096000",2316,"0","0","0","1","1","1","0","0","0","1","1","1","0","1"
"83","00097000","00097000",2316,"0","1","0","1","1","1","0","0","0","0","1","1","0","2"
"84","00098000","00098000",2316,"0","0","0","0","1","1","0","1","0","1","1","1","0","1"
"85","00100000","00100000",3077,"0","1","0","1","1","1","0","1","0","1","1","1","1","2"
"86","00101000","00101000",3077,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"87","00102000","00102000",3077,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"88","00103000","00103000",3077,"0","1","1","1","1","1","0","1","1","0","1","1","0","1"
"89","00105000","00105000",3077,"0","1","0","1","0","1","0","0","0","0","1","1","0","2"
"90","00106000","00106000",3077,"1","0","0","1","1","1","0","0","0","1","1","1","1","1"
"91","00108000","00108000",3077,"1","1","0","1","1","1","1","1","1","1","1","1","1","3"
"92","00109000","00109000",2012,"0","0","0","1","1","1","0","1","0","0","1","1","0","3"
"93","00110000","00110000",2012,"1","0","0","1","1","1","0","1","1","1","1","1","1","2"
"94","00111000","00111000",2012,"0","0","0","0","1","1","0","1","0","1","1","1","0","2"
"95","00112000","00112000",2012,"0","0","0","1","1","1","0","0","0","0","1","1","0","2"
"96","00114000","00114000",2012,"0","0","0","1","1","1","0","0","0","0","1","1","0","2"
"97","00115000","00115000",2012,"0","1","0","1","1","1","1","0","0","1","1","1","0","1"
"98","00116000","00116000",2012,"1","0","0","1","1","1","0","1","1","1","1","1","1","2"
"99","00117000","00117000",2012,"0","0","0","1","1","1","0","1","1","1","1","1","0","3"
"100","00117002","00117000",2012,"0","0","0","1","0","0","0","0","0","0","1","1","0","1"
"101","00118000","00118000",2012,"0","0","0","1","1","1","0","0","0","0","1","1","0","2"
"102","00119000","00119000",2012,"0","1","0","1","1","1","0","1","1","1","1","1","0","3"
"103","00120000","00120000",2012,"0","0","0","1","1","1","0","0","0","1","1","1","0","2"
"104","00121000","00121000",2012,"0","0","0","1","1","1","0","0","0","1","1","1","0","1"
"105","00121004","00121000",2012,"0","0","0","1","0","1","0","0","0","1","1","1","1","1"
"106","00122000","00122000",2012,"0","0","0","1","1","1","0","0","0","1","1","1","0","1"
"107","00125000","00125000",2012,"1","0","0","1","1","1","0","1","1","1","1","1","0","2"
"108","00126000","00126000",2012,"0","0","0","1","1","1","0","0","0","0","1","0","0","2"
"109","00127000","00127000",2689,"1","0","1","1","1","1","0","1","1","1","1","1","0","3"
"110","00128000","00128000",2689,"1","1","1","1","1","1","1","1","1","1","1","1","1","3"
"111","00129000","00129000",2689,"1","0","0","1","1","1","0","1","1","1","1","1","1","3"
"112","00132000","00132000",2689,"0","1","1","1","1","1","1","1","1","1","1","1","1","3"
"113","00133000","00133000",2689,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"114","00135000","00135000",2689,"0","1","1","1","1","1","1","1","1","1","1","1","1","2"
"115","00136000","00136000",2271,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"116","00137000","00137000",2271,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"117","00138000","00138000",2271,"0","0","0","1","1","1","0","1","1","1","1","1","1","1"
"118","00141000","00141000",2271,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"119","00141003","00141000",2271,"0","0","1","1","1","1","0","1","0","1","1","1","1","1"
"120","00142000","00142000",2271,"0","0","0","1","1","1","1","1","1","1","1","1","1","3"
"121","00144000","00144000",2271,"0","1","0","1","1","1","1","1","1","1","1","1","1","3"
"122","00145000","00145000",2423,"1","0","1","1","1","1","1","1","1","1","1","1","1","3"
"123","00147000","00147000",2423,"0","1","0","1","1","1","0","1","1","1","1","1","1","3"
"124","00149000","00149000",2423,"0","1","0","1","1","1","0","1","0","1","1","1","1","2"
"125","00150000","00150000",2423,"1","1","1","1","1","1","1","1","1","1","1","1","1","3"
"126","00151000","00151000",2423,"1","0","1","1","1","1","0","1","1","1","1","1","1","3"
"127","00157000","00157000",2070,"0","0","0","0","0","1","0","1","1","1","1","1","1","3"
"128","00158000","00158000",2070,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"129","00158004","00158000",2070,"0","0","0","0","1","1","0","1","1","1","1","1","1","1"
"130","00158005","00158000",2070,"1","0","1","1","1","1","1","1","0","1","1","1","1","3"
"131","00159000","00159000",2070,"0","1","1","1","1","1","1","1","1","1","1","1","1","3"
"132","00160000","00160000",2070,"0","1","0","1","1","1","0","0","1","1","1","1","1","3"
"133","00164000","00164000",1563,"0","1","1","1","1","1","0","1","1","1","1","1","1","2"
"134","00165000","00165000",1563,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"135","00165003","00165000",1563,"0","0","1","1","1","1","1","1","1","1","1","1","0","1"
"136","00168000","00168000",1563,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"137","00169000","00169000",1563,"0","0","0","0","0","1","0","1","1","1","1","1","1","2"
